# list2_planets: Gaia Wobble Bet, list built from MANIFEST 0.19
# date 2026-09-25
# git 3e128b1bfb6307d10ea729ae131533238e9160dd
# population: Gaia DR3, parallax_over_error >= 10, 1488768 candidate stars
# score: P_A * P(m2<13 MJ), ms_offset < 0.2 (an ordering score, not a calibrated probability)
# rank_new skips known DR3 orbit <80 MJ, known planets and Gaia neighbours within 2.0 arcsec
# the frozen bet is rank_new <= 100
rank_new,source_id,score,p_a,p_m2_lt13,rank_raw,ms_offset,known_dr3_orbit80,known_dr3_orbit_any,dr3_acceleration,known_planet,neighbour_2arcsec
71,1442207244418843264,0.67463806,0.67463806,1,88,0.102419,False,False,False,False,False
72,3637980098784983936,0.67389385,0.76578846,0.88,89,0.065427,False,False,False,False,False
73,5032989500911228928,0.67111699,0.67111699,1,90,-0.337093,False,False,False,False,False
74,3546332682170832128,0.67094305,0.67094305,1,91,-0.444884,False,False,False,False,False
75,6472836050915560448,0.67057236,0.67057236,1,92,-0.192262,False,False,True,False,False
76,3745619095984248448,0.6701796,0.6701796,1,93,0.114551,False,False,False,False,False
77,3317901440625203968,0.67003222,0.72829589,0.92,95,0.094946,False,False,False,False,False
78,5631304902248610432,0.66970588,0.7610294,0.88,96,0.050709,False,False,False,False,False
79,3154368194301157376,0.66954494,0.66954494,1,97,-0.16382,False,False,True,False,False
80,1590096093840214272,0.66671562,0.72469089,0.92,99,-0.295687,False,False,True,False,False
81,3428298528382128000,0.66653064,0.66653064,1,100,0.123868,False,False,False,False,False
82,5559035514779971456,0.66540422,0.66540422,1,101,-0.388708,False,False,False,False,False
83,3243715604392800512,0.66535443,0.66535443,1,102,-0.356845,False,False,False,False,False
84,1928108370769224704,0.66511662,0.75581434,0.88,103,-0.140197,False,False,False,False,False
85,1275744757390360064,0.66510176,0.66510176,1,104,0.15237,False,False,False,False,False
86,2348794198298597376,0.66486682,0.75553047,0.88,105,0.10873,False,False,False,False,False
87,6427708902552813824,0.66361283,0.66361283,1,106,-0.582359,False,False,False,False,False
88,1320795047312113152,0.66288178,0.66288178,1,107,0.055582,False,False,False,False,False
89,6252087964698602496,0.66135577,0.7873283,0.84,108,-0.021009,False,False,False,False,False
90,3745619095984248576,0.66117363,0.66117363,1,109,0.069883,False,False,False,False,False
91,1486075147027474176,0.66062915,0.66062915,1,110,-0.067376,False,False,True,False,False
92,1201405126966920448,0.65953625,0.65953625,1,111,-0.090102,False,False,False,False,False
93,2467732906559754496,0.65940651,0.65940651,1,112,0.027245,False,False,False,False,False
94,3677448412989388032,0.65828584,0.65828584,1,113,0.198549,False,False,False,False,False
95,1905816425352678656,0.65643214,0.65643214,1,116,-0.127749,False,False,False,False,False
96,5152365363828101632,0.65589341,0.65589341,1,118,0.181181,False,False,False,False,False
97,6448597630613279872,0.65569299,0.71270977,0.92,119,0.010946,False,False,False,False,False
98,3313069881590622848,0.65544759,0.7448268,0.88,120,0.186805,False,False,False,False,False
99,5277111971685878016,0.65477842,0.74406639,0.88,121,-0.09445,False,False,False,False,False
100,2787758616366123136,0.65357239,0.65357239,1,123,0.107432,False,False,False,False,False
101,6002992162332713856,0.65330339,0.65330339,1,124,0.069716,False,False,False,False,False
102,509746548568138624,0.65158288,0.65158288,1,125,-0.249142,False,False,False,False,False
103,6491249026683800832,0.65013076,0.65013076,1,126,0.128239,False,False,False,False,False
104,1546465994985741184,0.6499879,0.6499879,1,127,0.033267,False,False,False,False,False
105,6160315989731008768,0.64956717,0.73814451,0.88,128,-0.05646,False,True,False,False,False
106,2676023495972445184,0.64928863,0.64928863,1,129,0.118759,False,False,False,False,False
107,4744405494330903296,0.64871277,0.7371736,0.88,130,-0.35136,False,False,False,False,False
108,6192641081831733760,0.64810253,0.64810253,1,131,-0.014312,False,False,False,False,False
109,3630015546177181952,0.64801526,0.64801526,1,132,0.097633,False,False,False,False,False
110,4973763482448692096,0.64689212,0.64689212,1,133,-0.328058,False,False,False,False,False
111,6470597999291000448,0.64685167,0.64685167,1,134,-0.110503,False,False,False,False,False
112,4410702581435191296,0.64664482,0.64664482,1,135,-0.025742,False,False,False,False,False
113,1982655829820397696,0.64650723,0.76965147,0.84,136,0.122478,False,True,False,False,False
114,2035038900276000000,0.64634798,0.64634798,1,137,0.154876,False,False,False,False,False
115,6042493972972455936,0.64594377,0.64594377,1,138,-0.656903,False,False,True,False,False
116,3746973763029907328,0.64445246,0.64445246,1,140,-0.250213,False,False,False,False,False
117,6795261758382371840,0.64363596,0.6996043,0.92,141,-0.074102,False,False,False,False,False
118,4407666005194231808,0.64228276,0.72986677,0.88,144,0.105226,False,False,False,False,False
119,1542896911520969600,0.64225249,0.66901301,0.96,145,0.152531,False,False,False,False,False
120,2565529071371410048,0.64211272,0.64211272,1,146,-0.054851,False,False,False,False,False
121,4223813264304668288,0.64172205,0.64172205,1,147,0.103404,False,False,False,False,False
122,5100356956302641536,0.64165711,0.64165711,1,148,0.008578,False,False,False,False,False
123,1959316084181465856,0.64105666,0.72847348,0.88,149,-0.301802,False,False,True,False,False
124,798068940086479104,0.64050167,0.64050167,1,150,-0.112444,False,False,False,False,False
125,4410595035453942784,0.63963463,0.69525504,0.92,151,0.026573,False,False,False,False,False
126,847330325186182912,0.63940567,0.63940567,1,153,0.131126,False,False,False,False,False
127,3713826030072008192,0.63800123,0.63800123,1,156,-0.008692,False,False,False,False,False
128,2028065934962124928,0.63783845,0.63783845,1,157,-0.404094,False,False,False,False,False
129,4941774600386872960,0.63697918,0.63697918,1,158,0.131586,False,False,False,False,False
130,1175938925836488448,0.63673491,0.63673491,1,159,-0.342117,False,False,False,False,False
