# list1_substellar: Gaia Wobble Bet, list built from MANIFEST 0.19
# date 2026-09-25
# git 3e128b1bfb6307d10ea729ae131533238e9160dd
# population: Gaia DR3, parallax_over_error >= 10, 2234316 candidate stars
# score: P_A (an ordering score, not a calibrated probability)
# rank_new skips known DR3 orbit <80 MJ, known planets and Gaia neighbours within 2.0 arcsec
# the frozen bet is rank_new <= 100
rank_new,source_id,score,p_a,p_m2_lt13,rank_raw,ms_offset,known_dr3_orbit80,known_dr3_orbit_any,dr3_acceleration,known_planet,neighbour_2arcsec
69,1097353325107339776,0.77933587,0.77933587,0.52,111,0.213383,False,False,False,False,False
70,3457015126400528256,0.77873426,0.77873426,0.16,113,-0.205355,False,False,False,False,False
71,3604705445250272384,0.77855022,0.77855022,0.28,114,-0.000446,False,False,False,False,False
72,3439045258110278400,0.77838485,0.77838485,0.76,115,0.491213,False,False,True,False,False
73,3466404092409078272,0.77821725,0.77821725,1,116,0.300009,False,False,False,False,False
74,5993655315755140992,0.77733859,0.77733859,0.16,117,0.452118,False,False,False,False,False
75,2357390248924347264,0.77726652,0.77726652,0.6,118,0.513866,False,False,False,False,False
76,1130034173642334592,0.77710605,0.77710605,0.36,119,0.581312,False,False,False,False,False
77,4601473552567941120,0.77685624,0.77685624,0.4,121,-0.082411,False,False,True,False,False
78,712397055634344576,0.77673781,0.77673781,0.52,122,0.138444,False,False,False,False,False
79,1349158667736963968,0.77667943,0.77667943,0.08,123,0.30853,False,False,True,False,False
80,5496675407138691968,0.77659963,0.77659963,0.4,124,0.228817,False,False,False,False,False
81,4655323405866053888,0.7762352,0.7762352,0.68,126,0.36097,False,False,True,False,False
82,3871653498240785280,0.77593656,0.77593656,0.92,129,0.473373,False,False,False,False,False
83,1357137411302731648,0.77589157,0.77589157,0.16,130,0.616121,False,False,True,False,False
84,5746315192897230592,0.77578487,0.77578487,0,131,0.568134,False,False,False,False,False
85,355270456253138048,0.77566092,0.77566092,0.64,132,0.007465,False,True,False,False,False
86,6527055859795615616,0.77543507,0.77543507,1,133,0.057426,False,False,False,False,False
